date,campaign,impressions,adClicks,adCost,CPC,CTR,costPerConversion,newVisits,visits,bounces,organicSearches
20120831,(not set),0,0,0,0,0,0,1546,6256,1284,931
20120831,1ADV-0820-0831-4share-Interests,458371,930,3311.28,3.560516129,0.202892417,0,0,0,0,0
20120831,1ADV-0820-0831-4share-Keywords,812995,786,3323.99,4.228994911,0.096679561,0,0,0,0,0
20120831,1ADV-0820-0831-4share-Placements,195104,342,1889.88,5.525964912,0.175291127,0,0,0,0,0
20120831,1ADV-0820-0831-4share-Topics,1202671,1094,3257.98,2.978043876,0.090964196,0,0,0,0,0
20120901,(not set),0,0,0,0,0,0,1138,3213,876,651
20120901,1ADV-0820-0831-4share-Interests,477472,1136,3499.62,3.080651408,0.23791971,0,0,0,0,0
20120901,1ADV-0820-0831-4share-Keywords,821779,1016,3506.07,3.450856299,0.123634213,0,0,0,0,0
20120901,1ADV-0820-0831-4share-Placements,214661,467,2009.07,4.302077088,0.217552327,0,0,0,0,0
20120901,1ADV-0820-0831-4share-Topics,1104257,1321,3499.46,2.649099167,0.119627949,0,0,0,0,0
20120902,(not set),0,0,0,0,0,0,925,2294,651,627
20120902,1ADV-0820-0831-4share-Interests,3,0,0,0,0,0,0,0,0,0
20120902,1ADV-0820-0831-4share-Keywords,1,0,0,0,0,0,0,0,0,0
20120903,(not set),0,0,0,0,0,0,1868,6244,1649,1272
20120904,(not set),0,0,0,0,0,0,2008,6427,1826,1363
20120905,(not set),0,0,0,0,0,0,1960,6463,1607,1381
20120906,(not set),0,0,0,0,0,0,2081,6280,1497,1424
20120907,(not set),0,0,0,0,0,0,1856,6055,1485,1272
20120908,(not set),0,0,0,0,0,0,1278,3189,852,925
20120909,(not set),0,0,0,0,0,0,949,2191,742,657
20120910,(not set),0,0,0,0,0,0,1704,5605,1570,1083
20120911,(not set),0,0,0,0,0,0,1984,6463,1680,1394
20120912,(not set),0,0,0,0,0,0,2100,6810,1491,1315
20120913,(not set),0,0,0,0,0,0,2355,6901,1771,1162
20120914,(not set),0,0,0,0,0,0,1704,5879,1430,1132
20120914,DRTV-0817-0821-Keywords,109,0,0,0,0,0,0,0,0,0
20120915,(not set),0,0,0,0,0,0,1144,3493,1175,651
20120916,(not set),0,0,0,0,0,0,1028,2404,742,590
20120917,(not set),0,0,0,0,0,0,2142,6792,1850,1424
20120917,DRTV-0817-0821-Interests,114865,234,1275.79,5.452094017,0.203717407,0,0,0,0,0
20120917,DRTV-0817-0821-Placements,17313,51,269.78,5.289803922,0.29457633,0,0,0,0,0
20120917,DRTV-0817-0821-Topic,564,5,29.65,5.93,0.886524823,0,0,0,0,0
20120918,(not set),0,0,0,0,0,0,2106,7066,2057,1369
20120918,DRTV-0817-0821-Interests,129325,225,1256.69,5.585288889,0.173980282,0,0,0,0,0
20120918,DRTV-0817-0821-Placements,70066,157,839.24,5.345477707,0.224074444,0,0,0,0,0
